 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,3,0,0,7,18,36,38,43,48,92,152,91,166,174,245,193,196,227,198,224,238,172,196,190,144,153,122,95,35,87,27,18,32,21,13,5,0,4,0,3703,1.1824,0.00641684
10.1.2.2,8,0,9,9,14,30,43,54,78,67,80,133,77,111,168,184,188,175,268,225,229,222,208,166,171,166,123,138,105,54,60,52,37,8,16,0,0,3,3,0,3682,1.17791,0.00640755
10.1.3.2,4,4,0,8,6,31,35,43,64,68,72,92,183,166,137,214,151,192,272,236,224,148,208,253,209,100,111,87,149,90,66,52,39,28,20,6,9,6,0,0,3783,1.17811,0.00620854
10.1.4.2,4,3,9,0,8,16,36,50,56,79,63,123,165,148,189,225,180,199,254,257,221,233,227,168,150,165,106,70,94,48,43,52,35,18,15,13,8,0,5,0,3735,1.1769,0.00634843
10.1.5.2,0,5,9,5,0,24,8,43,84,117,92,99,172,115,174,196,185,270,197,224,235,181,176,229,160,153,131,122,97,98,67,29,35,12,13,15,9,0,0,0,3781,1.17855,0.00651302
10.1.6.2,0,5,3,22,6,0,30,35,80,43,135,91,98,174,149,231,207,182,230,287,248,236,197,236,146,154,85,119,84,78,33,25,16,24,10,4,7,0,0,0,3710,1.17788,0.00632241
10.1.7.2,9,0,6,23,17,27,0,24,85,86,115,124,132,129,164,137,222,209,259,188,227,248,219,185,199,107,115,133,90,75,46,25,29,17,17,10,9,0,0,0,3707,1.1764,0.00643973
10.1.8.2,0,3,13,20,22,46,46,0,38,61,62,81,118,166,129,173,217,218,255,177,255,235,190,192,207,127,124,139,104,70,58,43,20,27,6,20,3,0,0,0,3665,1.17675,0.00618423
10.1.9.2,0,10,17,0,9,13,24,28,0,62,101,131,70,170,134,173,189,236,173,242,221,210,224,249,192,136,84,172,78,66,67,76,48,17,27,20,15,3,11,0,3698,1.17957,0.00657802
10.1.10.2,3,4,3,13,5,33,19,56,54,0,48,110,140,164,195,174,240,238,250,222,210,218,189,212,185,125,157,82,85,71,68,39,20,31,10,25,0,9,0,0,3707,1.18273,0.00624442
10.1.11.2,0,9,0,11,18,19,30,46,42,45,0,105,172,140,139,204,217,168,252,207,206,306,204,208,148,152,98,157,83,111,48,55,46,30,7,0,4,7,10,0,3704,1.1854,0.00642468
10.1.12.2,4,9,22,10,9,32,27,58,40,61,74,0,125,153,138,183,258,226,161,243,205,234,203,158,202,236,141,117,99,103,65,42,30,18,7,14,20,5,6,0,3738,1.17701,0.00628552
10.1.13.2,0,11,3,14,19,21,25,42,59,47,98,128,0,145,187,199,213,221,228,245,244,257,208,218,177,135,113,59,62,99,67,39,24,18,3,13,4,13,10,0,3668,1.18159,0.00636164
10.1.14.2,0,4,0,25,4,25,38,27,59,71,110,112,107,0,138,175,248,210,239,237,226,216,202,245,178,156,142,92,115,100,34,43,11,32,32,0,6,10,0,0,3669,1.18048,0.00660097
10.1.15.2,0,0,9,20,23,5,41,45,58,81,96,79,95,128,0,205,278,215,210,291,227,230,220,205,180,166,89,119,60,69,65,41,36,36,23,30,10,9,4,0,3698,1.18142,0.00635482
10.1.16.2,5,15,11,18,21,28,40,28,62,33,86,102,128,136,252,0,212,224,239,241,203,229,258,180,193,156,179,89,59,69,46,43,16,12,11,12,6,15,0,0,3657,1.18371,0.00633232
10.1.17.2,12,3,5,4,11,26,22,39,63,96,60,114,145,175,211,247,0,210,223,212,288,273,192,156,161,179,107,121,92,57,43,55,33,22,8,4,0,7,3,0,3679,1.18512,0.00655388
10.1.18.2,0,4,9,14,4,51,38,23,59,96,101,115,180,200,155,200,243,0,203,253,242,260,244,211,182,199,103,78,55,59,25,28,38,12,25,17,16,0,3,0,3745,1.18425,0.00612676
10.1.19.2,0,10,16,18,8,23,37,42,64,66,133,113,98,153,182,162,235,211,0,215,257,312,212,205,123,120,123,136,156,93,34,65,26,15,20,14,14,10,9,0,3730,1.1866,0.00631856
10.1.20.2,9,3,22,10,10,14,12,60,38,75,112,87,154,151,199,205,203,250,203,0,290,261,215,160,243,164,119,103,71,79,40,61,25,38,6,3,7,0,4,0,3706,1.19057,0.00644229
10.1.21.2,8,4,3,16,13,17,40,63,55,94,95,95,104,115,168,192,178,263,296,260,0,272,193,235,159,129,137,119,78,37,54,47,34,21,14,5,15,0,6,0,3634,1.18472,0.00641092
10.1.22.2,6,9,6,3,12,18,46,35,56,48,103,130,153,178,171,214,185,179,243,235,258,0,263,197,192,202,114,85,88,90,40,36,33,23,26,22,11,10,5,0,3725,1.18641,0.00652346
10.1.23.2,0,8,13,14,13,19,13,48,45,53,112,122,107,118,195,197,215,203,240,297,216,229,0,228,182,129,169,149,97,65,74,54,51,20,9,12,10,4,0,0,3730,1.18815,0.00630674
10.1.24.2,4,0,3,23,12,23,36,36,54,65,90,90,140,257,177,190,168,209,241,261,233,243,208,0,201,160,129,116,92,84,37,23,31,9,10,8,16,0,0,0,3679,1.18557,0.00637785
10.1.25.2,4,4,22,15,4,34,39,38,74,113,105,100,122,154,167,204,205,236,290,234,273,221,233,245,0,107,133,63,72,20,83,53,30,9,11,9,10,11,0,0,3747,1.18527,0.00642117
10.1.26.2,13,0,16,6,36,16,14,40,38,74,67,125,112,155,194,264,245,231,206,182,270,267,223,148,196,0,128,132,60,66,54,21,17,15,16,13,10,3,0,0,3673,1.18716,0.00621972
10.1.27.2,5,6,10,18,12,9,7,60,35,65,88,94,142,175,141,213,262,228,256,218,250,224,212,191,150,166,0,144,53,59,52,49,32,32,14,14,11,14,0,0,3711,1.18533,0.00668699
10.1.28.2,0,3,4,22,10,4,23,47,55,61,116,83,166,136,168,264,222,217,231,217,230,299,225,174,191,173,139,0,81,57,74,24,21,8,10,6,0,0,6,0,3767,1.19054,0.0065423
10.1.29.2,5,6,0,12,13,6,20,43,47,36,79,104,105,151,127,163,220,245,242,261,301,224,223,180,161,152,130,134,0,92,78,42,34,41,9,16,9,0,5,0,3716,1.1893,0.00637325
10.1.30.2,0,5,18,4,18,11,36,16,82,25,92,154,131,145,138,201,182,259,237,285,268,190,189,227,145,135,190,116,89,0,57,32,39,11,13,8,9,0,0,0,3757,1.19164,0.0063301
10.1.31.2,6,3,10,11,22,17,30,34,73,64,77,112,129,161,190,149,143,173,297,263,247,219,289,123,154,99,137,128,108,82,0,40,39,16,16,15,8,3,0,0,3687,1.18866,0.00643744
10.1.32.2,6,6,3,12,20,30,18,54,70,55,71,141,138,127,207,178,183,195,217,268,288,215,220,228,162,79,120,102,98,81,64,0,21,22,8,0,9,10,4,0,3730,1.18999,0.00629603
10.1.33.2,6,0,19,11,20,17,24,47,54,98,95,95,117,156,151,202,254,198,227,219,308,168,150,131,212,157,158,101,94,33,51,26,0,25,12,23,11,0,5,0,3675,1.20103,0.006106
10.1.34.2,8,4,0,9,18,23,45,64,97,80,56,134,111,77,153,207,239,187,252,217,271,221,218,139,207,104,103,108,152,60,38,21,22,0,19,13,0,3,17,0,3697,1.19945,0.00638815
10.1.35.2,4,0,5,12,7,17,50,31,89,117,105,84,123,165,109,173,233,186,226,240,291,236,185,213,159,103,136,104,69,71,38,26,38,45,0,6,10,12,5,0,3723,1.19621,0.00608722
10.1.36.2,0,7,16,3,25,35,43,46,69,72,90,135,163,175,135,190,205,181,171,223,218,276,197,193,154,167,69,135,80,57,62,37,17,29,14,0,5,4,4,0,3702,1.1976,0.00642315
10.1.37.2,0,6,5,9,9,26,40,43,40,82,108,110,134,171,205,177,177,293,179,219,224,222,162,171,169,151,92,97,82,60,54,49,37,3,22,9,0,18,4,0,3659,1.19586,0.00607943
10.1.38.2,5,5,4,9,14,9,10,66,51,91,78,106,129,114,140,216,166,260,209,208,270,190,253,214,152,169,105,117,76,90,60,25,25,37,20,0,12,0,0,0,3705,1.20018,0.00621603
10.1.39.2,0,24,12,0,8,30,37,45,57,67,81,118,128,151,214,182,222,196,172,250,271,214,168,218,214,100,102,81,89,79,42,62,27,28,19,15,0,10,0,0,3733,1.19673,0.00638217
10.1.40.2,0,0,17,5,17,27,20,33,43,78,97,62,117,185,159,222,176,244,234,187,192,234,171,263,142,162,119,91,104,93,28,80,25,30,23,9,7,0,0,0,3696,1.19823,0.00623231
"Total de hormigas enviadas",148311
"Suma de las medias de los tiempos",47.4614
"Media de las medias de los tiempos",1.18653
"Varianza de las varianzas de los tiempos",1.96884e-08
